vote_average
7.4
4.0
8.1
7.8
7.2
7.3
8.464
8.6
7.1
8.467
7.4
6.5
8.368
8.4
6.0
7.2
6.3
6.956
7.8
7.6
9.0
7.2
8.4
6.8
8.2
7.0
8.897
9.1
8.5
7.9
10.0
3.4
8.4
7.0
6.7
8.8
8.3
6.7
7.1
7.979
7.6
7.3
7.711
7.5
5.6
8.0
3.0
7.2
7.8
6.0
8.643
6.7
8.5
7.2
8.0
6.0
8.7
8.3
7.0
7.3
8.2
8.058
7.2
7.8
10.0
7.4
3.0
7.5
7.9
7.4
5.875
7.8
8.3
7.599
7.5
8.6
7.909
5.3
5.7
7.3
7.2
9.3
10.0
7.463
8.0
7.7
7.5
7.8
5.0
7.5
9.0
7.0
7.5
7.6
7.4
7.571
8.0
7.974
7.9
8.2
7.4
7.7
6.9
2.0
7.5
5.3
2.3
7.8
7.2
8.3
8.333
8.1
5.7
8.445
7.3
7.917
8.062
8.215
6.8
6.6
7.0
7.4
5.5
7.6
7.6
8.5
5.9
6.7
9.0
8.297
7.9
7.5
7.0
7.693
9.3
7.5
7.2
6.0
5.6
5.5
7.0
6.6
8.1
5.7
4.7
8.0
7.1
7.5
6.71
8.5
6.0
6.7
6.0
8.5
7.25
8.789
7.6
7.1
7.6
7.127
8.6
7.1
4.4
9.0
9.0
6.0
8.0
5.5
5.9
7.8
5.8
8.327
8.25
7.3
4.1
6.0
6.6
7.3
8.506
6.3
8.057
7.4
9.9
7.899
7.9
8.1
7.8
7.4
7.3
7.8
6.0
7.2
8.1
7.0
6.2
7.3
5.8
6.0
7.2
7.803
8.2
8.46
7.3
7.584
7.2
8.6
7.6
8.1
7.5
6.0
8.4
8.5
8.2
8.289
7.9
7.2
8.0
6.4
9.5
6.3
7.2
8.3
7.4
8.3
6.8
10.0
6.7
4.0
3.0
7.0
7.6
8.0
8.5
7.3
7.0
4.5
4.3
6.7
8.9
8.2
6.8
8.05
7.566
8.5
7.7
8.017
8.087
5.0
7.5
7.5
6.9
7.2
6.1
6.6
8.3
7.2
7.5
7.6
8.688
7.5
5.7
7.0
4.1
5.5
6.1
8.043
7.2
7.644
7.9
7.2
7.5
7.975
5.5
8.2
7.0
7.0
7.4
8.0
5.3
9.3
3.0
7.9
7.8
8.6
7.763
6.4
8.37
7.2
7.1
5.6
6.9
7.5
3.2
6.7
6.825
7.9
1.2
10.0
9.0
7.2
6.8
1.9
7.1
6.7
6.0
6.0
7.687
8.5
7.7
7.7
10.0
4.3
8.1
4.9
8.0
6.606
6.609
7.1
6.8
8.1
8.2
7.8
5.7
8.1
8.2
7.7
5.7
5.1
7.292
7.8
8.4
6.5
6.4
8.1
7.3
10.0
1.0
7.4
7.8
8.951
5.6
5.903
7.6
7.2
7.0
8.047
7.4
8.5
7.1
7.0
7.347
6.0
6.3
6.7
7.1
6.0
7.3
6.3
6.7
8.1
7.7
7.1
6.8
6.4
7.9
7.393
6.5
6.8
8.1
7.2
9.0
8.4
8.5
7.2
8.0
8.183
6.2
6.5
9.0
6.765
5.6
5.2
8.299
8.4
7.613
7.4
6.732
5.7
7.3
7.5
7.554
7.0
7.5
10.0
6.3
5.8
5.6
6.4
6.7
7.5
5.5
7.1
10.0
6.0
7.4
7.6
4.8
8.132
9.0
7.816
7.125
6.8
5.5
8.2
8.4
7.7
6.7
4.8
8.8
7.7
7.3
6.3
7.3
6.5
7.1
4.9
5.5
6.7
8.356
6.7
6.9
7.0
4.0
8.2
8.5
8.408
7.0
8.413
6.5
7.0
8.023
2.0
7.0
7.8
7.5
6.3
6.9
7.3
7.9
6.6
6.0
6.2
7.7
8.2
7.0
7.4
8.3
7.7
5.8
8.2
7.1
8.7
7.4
